"","X","accession","Description","logFC","logCPM","F","PValue","FDR","accesssion","B12_4_1_A","B12_4_2_B","B12_4_3_B","noB12_4_1_A","noB12_4_2_B","B12_12_1_B","B12_12_3_A","noB12_12_2_B","noB12_12_3_A"
"1",1,"OEU11144.1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Fragilariopsis cylindrus CCMP1102]",5.27942765754342,11.1336770085318,84.0634102364036,3.84836779444254e-06,0.00522223509705853,"OEU11144.1",0.762525133513377,3.81714984015062,1.98393361526419,54.0137953314135,128.228411365681,1.41074383899521,1.9579774985389,126.322470323474,48.9835995152027
"2",2,"OEU10229.1","protoporphyrin IX Mg-chelatase subunit D [Fragilariopsis cylindrus CCMP1102]",1.98202135096002,8.55656912411203,17.9758635551509,0.0016781818929172,0.833489378007782,"OEU10229.1",1.4596390875091,1.82700810003939,2.47464503356854,5.07067153008151,11.2622242883735,1.7282580986462,2.17275080183975,11.3053603031185,7.34143752609443
"3",3,"OEU11214.1","hypothetical protein FRACYDRAFT_246327 [Fragilariopsis cylindrus CCMP1102]",2.44112760368982,9.36918023750818,17.6200733640051,0.00184264416656105,0.833489378007782,"OEU11214.1",1.42801450580614,3.65250719885118,3.71043461692187,20.2096643518547,13.6361326997453,3.62784319564544,1.27540555295375,15.5616079972314,28.7487151516086
"4",4,"OEU18387.1","P-ATPase family transporter: zinc/lead/cadmium/mercury ion [Fragilariopsis cylindrus CCMP1102]",1.21189563973372,9.77399180008402,15.0587500100017,0.0029982052927665,0.99994003611836,"OEU18387.1",6.65576853564916,8.57658676610775,8.63041385372938,14.5886393343244,23.5483895852194,6.83101081557932,9.53003990403172,28.095037722351,21.5671844625266
"5",5,"OEU08987.1","T-complex protein 1 subunit gamma [Fragilariopsis cylindrus CCMP1102]",1.01189583092658,10.2914415333341,11.8166048753852,0.00626435982722854,0.99994003611836,"OEU08987.1",19.0907811466399,13.0020768960309,12.2114333423698,24.4813597580593,36.794349909465,14.2544397808189,20.3807820469689,26.3913516550612,22.835513643665
"6",6,"OEU18337.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]",1.79633771795832,10.3489002832772,10.9588238884346,0.00801414492599126,0.99994003611836,"OEU18337.1",15.256033510917,13.9942361793338,13.0673974171524,85.7307113153586,16.910396659234,14.0401397795348,10.7766526726323,10.8405146376745,16.6184560665158
"7",7,"OEU09871.1","ribosomal protein S12 [Fragilariopsis cylindrus CCMP1102]",1.43616044604724,11.1112074416228,10.3144703673149,0.00946135353485434,0.99994003611836,"OEU09871.1",27.6001555470608,30.6896848582349,28.9068647195916,134.160041820479,30.3378469507351,24.8764813629758,24.6505840829935,26.5516296393088,19.8150482940216
